time,VIC_price_close,VIC_volume,KDH_price_close,KDN_Volume,DXG_price close,DXG_Volume,,,,,,,,,,,Mã Cổ Phiếu,time,Price open,Price high,Price low,Price close,Volume
2019-05-02,"50,933.339700 ₫",138924392,"13,430.00405790 ₫",12313252.78,"9,710.61347611 ₫",56026846.14,,,,,,,,,,,DXG,2023-09-05,"17,469.61281560 ₫","18,013.11188097 ₫","13,548.65527254 ₫","14,674.47476510 ₫",567093440.2
2019-06-03,"51,422.228650 ₫",19915220,"14,429.03677672 ₫",15905587.18,"9,896.33559373 ₫",29492503.36,,,,,,,,,,,DXG,2023-10-02,"14,674.47476510 ₫","15,101.50974504 ₫","11,879.33671461 ₫","12,927.51348354 ₫",451766723.9
2019-07-01,"54,222.229000 ₫",46899444,"13,128.05805123 ₫",15218596.51,"9,206.51058922 ₫",32385581.11,,,,,,,,,,,DXG,2023-11-01,"13,082.79893079 ₫","16,615.54285573 ₫","12,267.55033273 ₫","15,528.54472498 ₫",587107031.5
2019-08-01,"54,888.895750 ₫",86338712,"14,222.06288821 ₫",19775253.52,"10,464.88622041 ₫",71185706.91,,,,,,,,,,,DXG,2023-12-01,"15,528.54472498 ₫","16,654.36421754 ₫","14,790.93885054 ₫","15,866.43836432 ₫",483570550.8
2019-09-03,"53,244.451100 ₫",20659854,"15,079.52613987 ₫",22537138.47,"11,781.43642192 ₫",68769015.89,,,,,,,,,,,DXG,2024-01-02,"15,907.43691306 ₫","16,440.41804674 ₫","15,128.46448690 ₫","15,169.46303565 ₫",313926599.7
2019-10-01,"52,888.895500 ₫",27264974,"15,493.47391605 ₫",17428828.04,"10,431.12852293 ₫",54942844.78,,,,,,,,,,,DXG,2024-02-01,"15,169.46303565 ₫","15,743.44271808 ₫","14,472.48770698 ₫","14,964.47029193 ₫",181472033.2
2019-11-01,"51,422.228650 ₫",27040822,"15,611.74470913 ₫",45114726.03,"9,553.42838777 ₫",78084612.7,,,,,,,,,,,DXG,2024-03-01,"15,005.46884067 ₫","16,850.40353420 ₫","14,185.49786577 ₫","16,276.42385177 ₫",461618290.9
2019-12-02,"51,111.117500 ₫",29765582,"15,907.42169223 ₫",17721177.3,"9,789.73227009 ₫",51480261.24,,,,,,,,,,,DXG,2024-04-01,"16,153.42820553 ₫","17,096.39482666 ₫","12,709.55011095 ₫","13,242.53124464 ₫",388532064.9
2020-01-02,"51,022.228600 ₫",24618158,"14,783.84915594 ₫",14862902.56,"7,798.02811909 ₫",38525796.6,,,,,,,,,,,DXG,2024-05-02,"13,242.53124464 ₫","14,554.48480448 ₫","13,037.53850091 ₫","13,775.51237832 ₫",229646321.4
2020-02-03,"46,844.450300 ₫",32994426,"14,517.73987132 ₫",15652153.94,"8,000.57430394 ₫",77713462.98,,,,,,,,,,,DXG,2024-06-03,"13,939.50657330 ₫","14,226.49641451 ₫","12,791.54720844 ₫","13,119.53559840 ₫",139698237.5
2020-03-02,"37,066.671300 ₫",71088194,"10,940.04837561 ₫",24362138.76,"5,232.44311020 ₫",85469188.72,,,,,,,,,,,DXG,2024-07-01,"13,119.53559840 ₫","13,283.52979338 ₫","10,454.62992998 ₫","11,356.59800237 ₫",230597918.4
2020-04-01,"40,844.449550 ₫",55004168,"12,388.86559265 ₫",20899487.29,"6,677.27256228 ₫",91142350.51,,,,,,,,,,,DXG,2024-08-01,"11,356.59800237 ₫","13,242.53124464 ₫","9,880.65024755 ₫","12,873.54430593 ₫",313350359.8
2020-05-04,"43,111.116500 ₫",85505662,"13,009.78725733 ₫",63948127.84,"7,629.23963172 ₫",123492644.4,,,,,,,,,,,DXG,2024-09-04,"12,586.55446472 ₫","13,816.51092707 ₫","11,807.58203856 ₫","13,693.51528083 ₫",321693947.8
2020-06-01,"39,555.560500 ₫",46018814,"13,719.41201744 ₫",42054504.75,"7,561.72423677 ₫",164598360.3,,,,,,,,,,,DXG,2024-10-01,"13,857.50947581 ₫","14,062.50221954 ₫","12,012.57478228 ₫","13,611.51818334 ₫",429425931.9
2020-07-01,"38,888.893750 ₫",27767424,"13,512.43812893 ₫",32848596.69,"5,927.85167851 ₫",140810535.4,,,,,,,,,,,DXG,2024-11-01,"13,529.52108585 ₫","14,636.48190197 ₫","12,873.54430593 ₫","14,349.49206075 ₫",450592168.9
2020-08-03,"40,000.005000 ₫",28128104,"15,119.44177595 ₫",35787786.53,"6,535.49023305 ₫",171749173.2,,,,,,,,,,,DXG,2024-12-02,"14,431.48915824 ₫","14,964.47029193 ₫","12,381.56172099 ₫","12,791.54720844 ₫",428405163.6
2020-09-01,"40,666.671750 ₫",31135154,"15,057.34961312 ₫",38781661.1,"6,819.05489151 ₫",117783169.1,,,,,,,,,,,DXG,2025-01-02,"12,791.54720844 ₫","13,205.11500000 ₫","12,008.53500000 ₫","13,034.17500000 ₫",155893868
2020-10-01,"47,333.339250 ₫",48930522,"15,523.04083767 ₫",38425388.77,"7,764.27042162 ₫",208034535.6,,,,,,,,,,,DXG,2025-02-03,"12,735.03000000 ₫","13,931.61000000 ₫","12,307.68000000 ₫","13,931.61000000 ₫",272477828.5
2020-11-02,"46,177.783550 ₫",55390788,"16,609.65369631 ₫",70328627.17,"9,384.63990040 ₫",207413302.7,,,,,,,,,,,DXG,2025-03-03,"13,846.14000000 ₫","14,700.84000000 ₫","13,504.26000000 ₫","13,504.26000000 ₫",292828009.8
2020-12-01,"48,088.894900 ₫",44042168.26,"18,193.00386195 ₫",78788812.29,"10,768.70549768 ₫",263003278.9,,,,,,,,,,,DXG,2025-04-01,"13,675.20000000 ₫","13,931.61000000 ₫","10,512.81000000 ₫","12,948.70500000 ₫",381936595.3
2021-01-04,"44,177.783300 ₫",84913099.39,"19,807.40010908 ₫",56707056.25,"13,233.01741414 ₫",342313308.1,,,,,,,,,,,DXG,2025-05-05,"13,119.64500000 ₫","15,683.74500000 ₫","12,905.97000000 ₫","15,470.07000000 ₫",364699385.7
2021-02-01,"48,444.450500 ₫",58971538.63,"19,807.40010908 ₫",38464918.45,"15,866.11781798 ₫",196649814.4,,,,,,,,,,,DXG,2025-06-02,"15,427.33500000 ₫","17,250.00000000 ₫","15,050.00000000 ₫","16,900.00000000 ₫",353313275.4
2021-03-01,"52,400.006550 ₫",132726583.4,"18,907.06374049 ₫",69731182.91,"16,203.69479273 ₫",267497188,,,,,,,,,,,DXG,2025-07-01,"16,800.00000000 ₫","21,300.00000000 ₫","16,400.00000000 ₫","19,800.00000000 ₫",641055510
2021-04-01,"58,222.229500 ₫",148404331.7,"21,825.39541800 ₫",146199381.9,"15,832.36012051 ₫",235397988.4,,,,,,,,,,,DXG,2025-08-01,"20,000.00000000 ₫","23,800.00000000 ₫","18,850.00000000 ₫","22,800.00000000 ₫",612657699
